review_id,review_text,star_rating,date,business_name,business_category,platform,removal_reason,review_bomb_group_size,review_bomb_keep_count,flag_generic_sentiment_review_bomb,flag_arabizi_like
101,Shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
102,Shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
103,Shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
104,Shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
105,Shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
106,shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
108,Shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
110,Shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
111,Shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
112,Shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
113,Shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
116,Shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
117,Shady,5,قبل 11 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
118,Shady,5,قبل 12 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
119,Shady,5,قبل 12 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
120,Shady,5,قبل 12 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
121,Shady,5,قبل 12 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
122,Shady,5,قبل 12 ساعة,شتيجنبرجر,فندق,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
165,Teem garden To7faaa❤️❤️❤️,5,قبل 3 أيام,النيلو,مطعم مأكولات إيطالية,google_maps,arabizi_like,1,1,False,True
166,Team Garden the best,5,قبل 3 أيام,النيلو,مطعم مأكولات إيطالية,google_maps,exact_duplicate_same_business_rating_platform,1,1,False,False
167,Teem garden to7faaa,5,قبل 3 أيام,النيلو,مطعم مأكولات إيطالية,google_maps,arabizi_like,1,1,False,True
